Gene,Biological_Role
KAT5,"lysine acetyltransferase 5: The protein encoded by this gene belongs to the MYST family of histone acetyl transferases (HATs) and was originally isolated as an HIV-1 TAT-interactive protein. HATs play important roles in regulating chromatin remodeling, transcription and other nuclear processes by acetylating histone and nonhistone proteins. This protein is a histone acetylase that has a role in DNA repair and apoptosis and is thought to play an important role in signal transduction. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Jul 2008]"
KAT6A,"lysine acetyltransferase 6A: This gene encodes a member of the MOZ, YBFR2, SAS2, TIP60 family of histone acetyltransferases. The protein is composed of a nuclear localization domain, a double C2H2 zinc finger domain that binds to acetylated histone tails, a histone acetyl-transferase domain, a glutamate/aspartate-rich region, and a serine- and methionine-rich transactivation domain. It is part of a complex that acetylates lysine-9 residues in histone 3, and in addition, it acts as a co-activator for several transcription factors. Allelic variants of this gene are associated with an autosomal dominant form of cognitive disability. Chromosomal translocations of this gene are associated with acute myeloid leukemia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2017]"
KAT6B,"lysine acetyltransferase 6B: The protein encoded by this gene is a histone acetyltransferase and component of the MOZ/MORF protein complex. In addition to its acetyltransferase activity, the encoded protein has transcriptional activation activity in its N-terminal end and transcriptional repression activity in its C-terminal end. This protein is necessary for RUNX2-dependent transcriptional activation and could be involved in brain development. Mutations have been found in patients with genitopatellar syndrome. A translocation of this gene and the CREBBP gene results in acute myeloid leukemias. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2012]"
KAT7,"lysine acetyltransferase 7: The protein encoded by this gene is part of the multimeric HBO1 complex, which possesses histone H4-specific acetyltransferase activity. This activity is required for functional replication origins and is involved in transcriptional activation of some genes. In both cases, the acetylation of histone H4 helps unfold chromatin so that the DNA can be accessed and replicated or transcribed. [provided by RefSeq, Oct 2016]"
KAT8,"lysine acetyltransferase 8: This gene encodes a member of the MYST histone acetylase protein family. The encoded protein has a characteristic MYST domain containing an acetyl-CoA-binding site, a chromodomain typical of proteins which bind histones, and a C2HC-type zinc finger. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2012]"
KAZN,"kazrin, periplakin interacting protein: This gene encodes a protein that plays a role in desmosome assembly, cell adhesion, cytoskeletal organization, and epidermal differentiation. This protein co-localizes with desmoplakin and the cytolinker protein periplakin. In general, this protein localizes to the nucleus, desmosomes, cell membrane, and cortical actin-based structures. Some isoforms of this protein also associate with microtubules. Alternative splicing results in multiple transcript variants encoding distinct isoforms. Additional splice variants have been described but their biological validity has not been verified. [provided by RefSeq, Aug 2011]"
KCMF1,"potassium channel modulatory factor 1: Enables ubiquitin protein ligase activity. Predicted to be involved in synaptic signaling. Located in cytosol. [provided by Alliance of Genome Resources, Apr 2022]"
KCNA3,"potassium voltage-gated channel subfamily A member 3: Potassium channels represent the most complex class of voltage-gated ion channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. Four sequence-related potassium channel genes - shaker, shaw, shab, and shal - have been identified in Drosophila, and each has been shown to have human homolog(s). This gene encodes a member of the potassium channel, voltage-gated, shaker-related subfamily. This member contains six membrane-spanning domains with a shaker-type repeat in the fourth segment. It belongs to the delayed rectifier class, members of which allow nerve cells to efficiently repolarize following an action potential. It plays an essential role in T-cell proliferation and activation. This gene appears to be intronless and it is clustered together with KCNA2 and KCNA10 genes on chromosome 1. [provided by RefSeq, Jul 2008]"
KCNA5,"potassium voltage-gated channel subfamily A member 5: Potassium channels represent the most complex class of voltage-gated ino channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. Four sequence-related potassium channel genes - shaker, shaw, shab, and shal - have been identified in Drosophila, and each has been shown to have human homolog(s). This gene encodes a member of the potassium channel, voltage-gated, shaker-related subfamily. This member contains six membrane-spanning domains with a shaker-type repeat in the fourth segment. It belongs to the delayed rectifier class, the function of which could restore the resting membrane potential of beta cells after depolarization and thereby contribute to the regulation of insulin secretion. This gene is intronless, and the gene is clustered with genes KCNA1 and KCNA6 on chromosome 12. Defects in this gene are a cause of familial atrial fibrillation type 7 (ATFB7). [provided by RefSeq, May 2012]"
KCNB1,"potassium voltage-gated channel subfamily B member 1: Voltage-gated potassium (Kv) channels represent the most complex class of voltage-gated ion channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. Four sequence-related potassium channel genes - shaker, shaw, shab, and shal - have been identified in Drosophila, and each has been shown to have human homolog(s). This gene encodes a member of the potassium channel, voltage-gated, shab-related subfamily. This member is a delayed rectifier potassium channel and its activity is modulated by some other family members. [provided by RefSeq, Jul 2008]"
KCNH2,"potassium voltage-gated channel subfamily H member 2: This gene encodes a component of a voltage-activated potassium channel found in cardiac muscle, nerve cells, and microglia. Four copies of this protein interact with one copy of the KCNE2 protein to form a functional potassium channel. Mutations in this gene can cause long QT syndrome type 2 (LQT2). Transcript variants encoding distinct isoforms have been identified. [provided by RefSeq, May 2022]"
